tahun_lahir,ipk,ips_semester_genap_2021/2022,ips_semester_ganjil_2022/2023,nilai_matkul_matematika_1,nilai_matkul_bahasa_inggris_1,total_sks_semester,total_matkul_mengulang,memiliki_beasiswa,nilai_matematika_sma_kelas_12,pendidikan_ibu,pendidikan_ayah,jumlah_saudara,penghasilan_orang_tua,waktu_khusus_belajar,suka_lomba,total_mengikuti_lomba,sosial_media_youtube,sosial_media_whatsapp,sosial_media_twitter,sosial_media_tiktok,sosial_media_tidak menggunakan sosial media,sosial_media_instagram,sosial_media_facebook,total_akses_sosial_media,genre_permainan_tidak bermain game,genre_permainan_teka-teki,genre_permainan_strategi,genre_permainan_shooting,genre_permainan_petualangan,genre_permainan_olahraga,genre_permainan_multiplayer,genre_permainan_aksi,jenis_organisasi_tidak mengikuti organisasi,jenis_organisasi_penalaran dan keilmuan,jenis_organisasi_organisasi sosial,jenis_organisasi_organisasi pengusaha,jenis_organisasi_organisasi masyarakat,jenis_organisasi_organisasi keprofesian,jenis_organisasi_organisasi keahlian,jenis_organisasi_organisasi keagamaan,jenis_organisasi_himpunan mahasiswa,estimasi_waktu_perjalanan_ke_kampus,jenis_kelamin_laki-laki,jenis_kelamin_perempuan,tempat_tinggal_kuliah_apartemen,tempat_tinggal_kuliah_asrama,tempat_tinggal_kuliah_bersama anggota keluarga besar,tempat_tinggal_kuliah_bersama orang tua,tempat_tinggal_kuliah_kontrakan,tempat_tinggal_kuliah_kos,provinsi_asal_bali,provinsi_asal_bangka belitung,provinsi_asal_banten,provinsi_asal_bengkulu,provinsi_asal_dki jakarta,provinsi_asal_jambi,provinsi_asal_jawa barat,provinsi_asal_jawa tengah,provinsi_asal_jawa timur,provinsi_asal_kalimantan timur,provinsi_asal_maluku utara,provinsi_asal_nanggroe aceh darussalam,provinsi_asal_nusa tenggara barat,provinsi_asal_nusa tenggara timur,provinsi_asal_papua barat,provinsi_asal_papua barat daya,provinsi_asal_riau,provinsi_asal_sulawesi selatan,provinsi_asal_sulawesi tengah,provinsi_asal_sulawesi tenggara,provinsi_asal_sulawesi utara,provinsi_asal_sumatera barat,provinsi_asal_sumatera selatan,provinsi_asal_sumatera utara,jalur_pendaftaran_kampus_beasiswa aperti bumn,jalur_pendaftaran_kampus_beasiswa undangan,jalur_pendaftaran_kampus_jalur undangan,jalur_pendaftaran_kampus_seleksi rapot,jalur_pendaftaran_kampus_snmptn,jalur_pendaftaran_kampus_ujian tes,jalur_pendaftaran_kampus_utbk/snbp,tipe_sma_boarding school,tipe_sma_ma/man,tipe_sma_mengulang kuliah,tipe_sma_sma/sman,tipe_sma_smk/smkn,latar_belakang_sma_negeri,latar_belakang_sma_swasta,jenis_tempat_tinggal_keluarga_bersama anggota keluarga besar,jenis_tempat_tinggal_keluarga_kontrakan,jenis_tempat_tinggal_keluarga_rumah,jenis_tempat_tinggal_keluarga_rumah dinas,cara_belajar_mahasiswa_aural,cara_belajar_mahasiswa_kinestetic,cara_belajar_mahasiswa_reading,cara_belajar_mahasiswa_visual,akses_pembelajaran_daring,akses_pembelajaran_luring
2,2.2924998700618744,2.696250081062317,2.517500340938568,3,6,19.5,1.0,0,79.375,3,3,1,4,1,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,2.2924998700618744,2.696250081062317,2.517500340938568,3,5,19.5,0.0,0,79.375,3,3,1,1,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2,2.380000114440918,2.696250081062317,2.517500340938568,6,6,19.5,0.0,0,79.375,6,6,1,2,1,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,2.4000000953674316,2.696250081062317,2.517500340938568,3,7,19.5,1.0,0,79.375,6,7,2,3,1,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,2.440000057220459,2.696250081062317,2.517500340938568,1,3,19.5,0.0,0,79.375,4,3,2,2,1,1,0,0,0,0,1,0,1,1,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,2.569999933242798,2.696250081062317,2.517500340938568,6,4,19.5,1.0,0,79.375,4,6,1,3,1,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,2.5999999046325684,2.696250081062317,2.5999999046325684,6,7,19.5,0.0,0,79.375,3,5,3,3,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,2.630000114440918,2.696250081062317,2.630000114440918,2,4,19.5,0.0,0,79.375,2,7,2,4,1,1,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,2.640000104904175,2.696250081062317,2.640000104904175,6,7,19.5,0.0,0,79.375,3,3,2,3,1,1,0,0,0,1,1,0,1,0,4,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,2.640000104904175,2.696250081062317,2.680000066757202,5,2,19.5,3.0,0,79.375,6,3,1,2,1,1,0,0,0,0,1,0,1,1,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
